“ID”,"ORDEN","FAMILIA","NOMBRE CIENTIFICO","NOMBRE COMUN","NOMBRE EN INGLES","DS 004-2014-MINAGRI","STATUS  MIGRATORIO","Enero","Febrero","Marzo","Abril","Mayo","Junio",,
"67","CHARADRIIFORMES","SCOLOPACIDAE","Arenaria interpres","Vuelvepiedras Rojizo","Ruddy Turnstone","","MN","","7","","","","",,
"68","CHARADRIIFORMES","SCOLOPACIDAE","Bartramia longicauda","Playero de Batitú","Upland Sandpiper","","MN","","","","","","",,
"69","CHARADRIIFORMES","SCOLOPACIDAE","Calidris alba","Playero Blanco - Playero Arenero","Sanderling","","MN","","","","","","",,
"70","CHARADRIIFORMES","SCOLOPACIDAE","Calidris bairdii","Playero de Baird","Baird’s Sandpiper","","MN","","","","","","",,
"71","CHARADRIIFORMES","SCOLOPACIDAE","Calidris canutus","Playero de Pecho Rufo","Red Knot","","MN","","","","","","",,
"72","CHARADRIIFORMES","SCOLOPACIDAE","Calidris ferruginea","Playero Zarapito","Curlew Sandpiper","","MN","","","","","","",,
"73","CHARADRIIFORMES","SCOLOPACIDAE","Calidris himantopus","Playero de Pata Larga","Stilt Sandpiper","","MN","","","7","","","",,
"74","CHARADRIIFORMES","SCOLOPACIDAE","Calidris mauri","Playerito Occidental","Western Sandpiper","","MN","","","","","","",,
"75","CHARADRIIFORMES","SCOLOPACIDAE","Calidris melanotos","Playero Pectoral","Pectoral Sandpiper","","MN","","4","","","","",,
"76","CHARADRIIFORMES","SCOLOPACIDAE","Calidris minutilla","Playerito Menudo","Least Sandpiper","","MN","4","33","6","17","4","",,
"77","CHARADRIIFORMES","SCOLOPACIDAE","Calidris pusilla","Playerito semipalmado","Semipalmated Sandpiper","","MN","139","10","42","","","",,
"78","CHARADRIIFORMES","SCOLOPACIDAE","Limnodromus griseus","Becasina Migratoria - Agujeta Pico Corto","Short-billed Dowitcher","","MN","","","","","","",,
"79","CHARADRIIFORMES","SCOLOPACIDAE","Limosa haemastica","Aguja de mar","Hudsonian Godwit","","MN","","","","","","",,
"80","CHARADRIIFORMES","SCOLOPACIDAE","Numenius phaeopus","Zarapito Trinador","Whimbrel","","MN","","6","3","","","",,
"81","CHARADRIIFORMES","SCOLOPACIDAE","Philomachus pugnax","Playero combatiente","Ruff  or Reeve","","MN","","","","","","",,
"82","CHARADRIIFORMES","SCOLOPACIDAE","Tringa flavipes","Playero Pata Amarilla Menor","Lesser Yellowlegs","","MN","43","50","14","8","2","5",,
"83","CHARADRIIFORMES","SCOLOPACIDAE","Tringa melanoleuca","Playero Pata Amarilla Mayor","Greater Yellowlegs","","MN","19","109","16","2","4","",,
"84","CHARADRIIFORMES","SCOLOPACIDAE","Tringa semipalmata","Playero de Ala Blanca","Willet","","MN","","","2","","","",,
"85","CHARADRIIFORMES","SCOLOPACIDAE","Tringa solitaria","Playero solitario","Solitary Sandpiper","","MN","","","","","","",,
"86","CHARADRIIFORMES","SCOLOPACIDAE","Limnodromus scolopaceus","Becasina Pico Largo - Agujeta de Pico Largo","Long-billed Dowitcher","","MAN","","","","","","",,
"87","CHARADRIIFORMES","STERCORAIIDAE","Stercorarius chilensis","Salteador chileno","Chilean Skua","","MS","","","","","","",,
"88","CHARADRIIFORMES","STERCORAIIDAE","Stercorarius parasiticus","Salteador parásito","Parasitic Jaeger","","MS","","","","","","",,
"89","CHARADRIIFORMES","STERCORAIIDAE","Stercorarius pomarinus","Salteador pomarino","Pomarine Jaeger","","MS","","","","","","",,
"90","CHARADRIIFORMES","THINOCORIDAE","Thinocorus rumicivorus","Agachona chica","Least Seedsnipe","","MS","","","","","","",,
"91","CICONIIFORMES","CICONIIDAE","Mycteria americana","Cigüeña Gabán - Manchaco","Wood Stork","NT","MN","","","","","","",,
"92","COLUMBIFORMES","COLUMBIDAE","Columbina minuta","Tortolita menuda","Plain-breasted Ground Dove","","R","","","","","","",,
"93","COLUMBIFORMES","COLUMBIDAE","Metriopelia ceciliae","Tortolita Moteada - Cascabelita común","Bare-faced Ground Dove","","ML","","","","","","",,
"94","COLUMBIFORMES","COLUMBIDAE","Columba livia","Paloma doméstica, paloma de castilla","Rock Pigeon","","R","9","70","24","10","6","11",
"95","COLUMBIFORMES","COLUMBIDAE","Columbina cruziana","Tortolita peruana","Croaking Ground Dove","","R","32","39","46","45","12","34",,
"96","COLUMBIFORMES","COLUMBIDAE","Zenaida auriculata","Madrugadora o rabiblanca","Eared Dove","","R","4","3","1","2","2","",,
"97","COLUMBIFORMES","COLUMBIDAE","Zenaida meloda","Paloma Cuculi","West Peruvian Dove","","R","122","69","102","108","55","109",,
"98","CORACIIFORMES","ALCEDINIDAE","Chloroceryle americana","Martín Pescador Verde","Green Kingfisher","","MAN","","","","","","",,
"99","CUCULIFORMES","CUCULIDAE","Coccyzus melacoryphus","Cuclillo Pico Oscuro","Dark-billed Cuckoo","","MAN","","","","","","",,
